phrase  length  count
enterprise  1 2646
hughes  1 2643
trans-canada highway  2 2642
military  1 2641
land  1 2638
davis road  2 2638
pizza hut   2 2638
place southwest   2 2634
birchwood   1 2632
old us  2 2631
hollow lane   2 2626
johnson street  2 2625
dixon   1 2625
don   1 2623
augusta   1 2619
camino  1 2619
trail road  2 2618
court southwest   2 2618
stuart  1 2613
english   1 2612
veterans memorial   2 2609
anne  1 2609
wendy's   1 2607
lee street  2 2604
south county road   3 2603
pleasant street   2 2602
center road   2 2602
emerson   1 2602
azalea  1 2600
seneca  1 2600
mckinley  1 2589
simpson   1 2587
cvs   1 2587
gilbert   1 2584
seven   1 2582
tree drive  2 2580
rest  1 2579
nicholas  1 2579
williams road   2 2579
marie   1 2574
ryan  1 2573
reservoir   1 2570
brentwood   1 2568
wood street   2 2566
ponderosa   1 2564
seventh   1 2562
hollow drive  2 2560
frederick   1 2559
daisy   1 2558
snow  1 2555
lake shore  2 2554
auburn  1 2550
old state   2 2547
derby   1 2543
walgreens   1 2543
fe  1 2541
technology  1 2541
woodland drive  2 2539
taco bell   2 2539
french  1 2538
surgery   1 2538
bottom  1 2536
air   1 2535
buena   1 2534
portland  1 2534
key   1 2532
horn  1 2531
bend road   2 2530
lea   1 2526
c r   2 2524
evangelical   1 2524
arrow   1 2521
jr  1 2519
charlotte   1 2517
harvard   1 2516
downs   1 2516
gum   1 2516
vincent   1 2516
village road  2 2515
carr  1 2511
quay  1 2510
oak ridge   2 2510
stratford   1 2509
two   1 2507
toll  1 2506
boyd  1 2505
greenfield  1 2504
wilson road   2 2504
carolina  1 2502
lakeside drive  2 2500
commons   1 2498
field road  2 2497
carroll   1 2496
amber   1 2496
lady of   2 2490
grove school  2 2489
c street  2 2488
wood drive  2 2488
assembly of   2 2488
craig   1 2486
oak hill  2 2486
dawson  1 2485
pleasant hill   2 2484
princeton   1 2484
catherine   1 2483
flower  1 2482
cedar lane  2 2478
lily  1 2473
walter  1 2471
wagon   1 2470
avon  1 2469
meadowbrook   1 2466
us highway  2 2465
harding   1 2465
america   1 2462
taylor street   2 2461
rancho  1 2460
nest  1 2456
hill school   2 2454
webb  1 2453
plymouth  1 2453
hillcrest drive   2 2451
falls road  2 2451
course  1 2451
thomas street   2 2449
pit   1 2446
bureau  1 2443
dakota  1 2443
woods road  2 2443
cotton  1 2440
waters  1 2439
iris  1 2438
power   1 2436
kingdom   1 2435
sunshine  1 2435
our lady of   3 2432
westminster   1 2432
barbara   1 2430
shelter   1 2429
madison avenue  2 2429
cox   1 2427
causeway  1 2427
gregory   1 2427
grove cemetery  2 2426
armstrong   1 2423
heights road  2 2422
assembly of god   3 2422
century   1 2420
science   1 2419
pauls   1 2418
court street  2 2418
brook lane  2 2417
old mill  2 2417
norwood   1 2416
wood lane   2 2415
carson  1 2413
breeze  1 2412
griffin   1 2410
bethany   1 2407
butte   1 2407
chicago   1 2403
bill  1 2402
q   1 2401
camden  1 2400
hood  1 2397
yellow  1 2396
westfield   1 2396
chapman   1 2395
williams street   2 2393
knob  1 2389
orchard road  2 2389
drove   1 2387
alice   1 2385
shirley   1 2382
senior  1 2377
mills road  2 2376
plains  1 2375
municipal   1 2375
live  1 2371
midland   1 2370
lane southwest  2 2370
partridge   1 2369
santa fe  2 2369
dog   1 2366
jane  1 2364
brown street  2 2364
maria   1 2359
liberty street  2 2358
prospect street   2 2357
forge   1 2356
sycamore street   2 2356
sylvan  1 2354
devon   1 2354
hancock   1 2353
england   1 2352
state park  2 2351
outer   1 2350
donald  1 2348
las   1 2348
mcdonald  1 2348
norton  1 2347
nottingham  1 2346
animal  1 2344
buchanan  1 2341
regent  1 2340
park boulevard  2 2339
mosque  1 2339
leonard   1 2338
pacific highway   2 2336
helen   1 2336
jim   1 2336
henry street  2 2335
tanglewood  1 2334
pine lane   2 2331
creekside   1 2331
coventry  1 2331
low   1 2328
coleman   1 2327
education   1 2325
cove drive  2 2325
